Year,Airlines,General Aviation,Military,Total
1990,391534,37772,9696,439002
1991,367960,35985,9267,413212
1992,382337,36573,8845,427755
1993,398750,45508,9010,453268
1994,433737,38744,7462,479943
1995,474414,37693,7049,519156
1996,474929,33083,5837,513849
1997,484288,29544,5.057,516889
1998,471481,26784,4714,502979
1999,474166,24337,4362,502865
2000,456827,20639,3559,481025
2001,452866,17761,3534,474161
2002,420904,14504,1709,437117
2003,312439,10393,1378,324210
2004,266898,11636,5113,283647
2005,268801,11273,7596,288091
2006,244328,10571,17686,272585
2007,235100,11249,7953,254302
2008,234834,10430,2353,247617
2009,199202,8422,1433,209057
2010,160633,8187,1358,170175
2011,179074,9316,1560,189950
2012,181315,8229,1398,190942
2013,178303,8325,1645,188273
2014,174146,8375,1399,183920
2015,175865,8024,1975,185865
2016,180451,7876,2233,190560
2017,187032,7111,2262,196405
2018,186079,6768,1455,194302
2019,185110,7032,1783,193925
2020,118778,4505,1755,125038
2021,129929,5874,1898,137701
