Year,Month,Enplaned Passengers,Deplaned Passengers,Total Passengers,Aircraft Departures (Passenger),Aircraft Departures (Cargo),Total Aircraft Departures,All Aircraft Operations,Landed Weights (1000-lbs),Air Cargo (lbs)
2016,1,480417,486414,966831,6603,118,6721,14799,633426,10509624
2016,2,465731,465602,931333,6302,111,6413,14094,584961,9070670
2016,3,575153,570768,1145921,7113,130,7243,16089,686917,12389672
2016,4,564394,574134,1138528,6915,120,7035,15727,669922,11363108
2016,5,641614,612262,1253876,7207,115,7322,16453,708295,10813630
2016,6,645824,652029,1297853,7300,124,7424,16465,721871,12088847
2016,7,644116,642100,1286216,7334,118,7452,16442,731706,11188479
2016,8,589716,608346,1198062,7413,122,7535,16758,731769,12348081
2016,9,584524,585642,1170166,7022,119,7141,15847,701789,12448048
2016,10,618823,617376,1236199,7228,115,7343,16488,724813,12102820
2016,11,592955,592451,1185406,6909,126,7035,15682,696659,12170308
2016,12,584884,563851,1148735,6881,171,7052,15716,713771,14363071
2017,1,505421,515787,1021208,6776,117,6893,15609,679607,11279882
2017,2,485521,484456,969977,6293,114,6407,14189,623571,10275984
2017,3,633474,631383,1264857,7951,130,8081,16730,755696,12730163
2017,4,604718,611705,1216423,7663,116,7779,16166,730579,11268200
2017,5,663840,642254,1306094,8002,123,8125,16728,760441,11969223
2017,6,678902,677029,1355931,8036,129,8165,17084,769480,12660838
2017,7,690233,688810,1379043,8141,118,8259,17160,779811,10866049
2017,8,635521,655176,1290697,8208,139,8347,17282,778683,13230745
2017,9,590030,588999,1179029,7623,123,7746,16200,722371,12442292
2017,10,652955,654360,1307315,8105,124,8229,17147,773427,11631035
2017,11,630623,626147,1256770,7726,130,7856,16347,746850,12225919
2017,12,601567,581745,1183312,7406,146,7552,15763,745341,13628324
2018,1,532167,540771,1072938,7347,118,7465,15321,715890,11470349
2018,2,507511,504392,1011903,6677,117,6794,13997,643038,10679506
2018,3,663637,659620,1323257,7906,132,8038,16575,783487,12095929
2018,4,641759,649993,1291752,7686,120,7806,16059,781080,11567122
2018,5,717790,693599,1411389,7966,131,8097,16700,810892,12913815
2018,6,731211,734909,1466120,7874,129,8003,16620,807304,12868289
2018,7,724339,722167,1446506,8065,119,8184,16837,803482,12095344
2018,8,681321,699722,1381043,8181,135,8316,17074,815917,13846795
2018,9,631148,630092,1261240,7667,119,7786,15923,774060,12360820
2018,10,697084,700199,1397283,8193,129,8322,17073,826775,13346017
2018,11,664459,660386,1324845,7705,125,7830,16094,775976,12621102
2018,12,629848,614462,1244310,7652,135,7787,16029,772775,12774105
2019,1,546549,551950,1098499,7269,126,7395,15124,725615,11720925
2019,2,530757,530599,1061356,6580,116,6696,13957,661838,10944417
2019,3,673860,677223,1351083,7691,127,7818,16476,783950,12331265
2019,4,662751,667773,1330524,7658,125,7783,16075,776141,12646980
2019,5,733995,712560,1446555,8118,132,8250,17071,816783,13694022
2019,6,739105,739869,1478974,7846,126,7972,16265,808814,12389660
2019,7,739288,740627,1479915,8138,127,8265,16950,836328,12671770
2019,8,683349,701834,1385183,8026,135,8161,16698,829556,13737541
2019,9,652472,654596,1307068,7781,130,7911,16486,812240,13118883
2019,10,703178,700219,1403397,8077,164,8241,17007,856392,15432976
2019,11,622335,623906,1246241,7421,153,7574,15684,784734,13853439
2019,12,659347,630385,1289732,7594,172,7766,16132,794490,16040068
2020,1,565285,575624,1140909,7352,158,7510,15525,768588,13907076
2020,2,548258,548529,1096787,6902,149,7051,14626,726532,13181176
2020,3,302944,327479,630423,6541,153,6694,13707,685849,14067718
2020,4,28102,26964,55066,2837,159,2996,6423,313807,12815618
2020,5,76290,72957,149247,2646,154,2800,6063,281648,14192443
2020,6,189838,188001,377839,3604,157,3761,8167,395743,14839732
2020,7,262103,257404,519507,5278,187,5465,11284,582737,15872731
2020,8,254056,257612,511668,5701,113,5814,12096,620373,14598798
2020,9,216843,216005,432848,3966,180,4146,9289,428110,15226782
2020,10,238205,235017,473222,4244,188,4432,9277,434081,17792031
