Year,Enplaned,Deplaned,Total
1990,10019581,10046156,20065737
1991,9555630,9595648,19151278
1992,10478501,10506281,20984782
1993,9942073,9981701,19923774
1994,11666667,11696004,23362671
1995,12847777,12871574,25719351
1996,13643532,13631314,27274846
1997,13821027,13840117,27661144
1998,14362401,14338221,28700622
1999,15092981,15095992,30188973
2000,15300321,15258670,30558991
2001,13389619,13305426,26695019
2002,12807531,12818583,25626114
2003,10194696,10236436,20431132
2004,6707789,6688239,13396028
2005,7362918,7334345,14697263
2006,7604898,7601046,15205944
2007,7715340,7669217,15384557
2008,7207890,7223581,14431471
2009,6418490,6377812,12796302
2010,6178819,6152617,12331426
2011,6282919,6243231,12526150
2012,6355073,6333653,12688726
2013,6298217,6271911,12570128
2014,6200264,6183751,12384015
2015,6376297,6376034,12752331
2016,6988151,6970975,13959126
2017,7390809,7376773,14767582
2018,7822274,7810312,15632586
